Empresa.....: 01 N A INDUSTRIA E COMERCIO DE CONFECCOES LTDA;;;Data/Hora.: 10/04/2024 09:43:33;
Itens da Tabela de Preço;;;Usuário.: MARCELO;
;;;;
Tabela.: ;;;;
Periodo.: 01/02/2021 até 31/12/2024;;;;
;;;;
Código Comercial;Código;Produto;Preço CIF;Preço FOB
17042;17042;KIT LINHA PARA COSTURA 120, 1.500JDS, 10 CONES;30;30
17049;17049;KIT LINHA PARA COSTURA 120, 1.500JDS, 20 CONES;60;60
3420;17030;KIT LINHA PARA COSTURA 120, 1.500JDS, 5 CONES;15;15
20321;20321;LINHA ALFA P/CANELINHA 150 15000M BRANCA;15,8;15,8
20322;20322;LINHA ALFA P/CANELINHA 150 15000M PRETA ;15,8;15,8
19774;19774;LINHA ALFA 120 10000M    9900 PRETA ;13,6;13,6
19775;19775;LINHA ALFA 120 10000M 0100 BRANCA;13,6;13,6
20382;20382;LINHA ALFA 120 10000M 0502 AM. BB;13,6;13,6
20383;20383;LINHA ALFA 120 10000M 0504 AM. BB;13,6;13,6
20926;20926;LINHA ALFA 120 10000M 1504;13,6;13,6
5071;5071;LINHA ALFA 120 10000M 2001;13,6;13,6
20384;20384;LINHA ALFA 120 10000M 2003 BEGE;13,6;13,6
20385;20385;LINHA ALFA 120 10000M 2505 MUSGO;13,6;13,6
20923;20923;LINHA ALFA 120 10000M 2508;13,6;13,6
20920;20920;LINHA ALFA 120 10000M 3000;13,6;13,6
20922;20922;LINHA ALFA 120 10000M 3002;13,6;13,6
20924;20924;LINHA ALFA 120 10000M 3500;13,6;13,6
20919;20919;LINHA ALFA 120 10000M 4000;13,6;13,6
20386;20386;LINHA ALFA 120 10000M 4500 NOITE;13,6;13,6
20387;20387;LINHA ALFA 120 10000M 4501 MARINHO;13,6;13,6
20388;20388;LINHA ALFA 120 10000M 4503 ROYAL;13,6;13,6
5072;5072;LINHA ALFA 120 10000M 4504;13,6;13,6
20925;20925;LINHA ALFA 120 10000M 5002;13,6;13,6
20921;20921;LINHA ALFA 120 10000M 5003;13,6;13,6
20918;20918;LINHA ALFA 120 10000M 5500;13,6;13,6
2353;2353;LINHA ALFA 120 1500J    9900 PRETO;2,5;2,5
2223;2223;LINHA ALFA 120 1500J 0100 BRANCA;2,5;2,5
2111;2111;LINHA ALFA 120 1500J 0101 NATURAL;2,5;2,5
2112;2112;LINHA ALFA 120 1500J 0102 BRANCO FOSCO;2,5;2,5
2354;2354;LINHA ALFA 120 1500J 0500 AMARELO;2,5;2,5
2364;2364;LINHA ALFA 120 1500J 0501 CANARIO;2,5;2,5
2383;2383;LINHA ALFA 120 1500J 0502 AM. BB;2,5;2,5
2113;2113;LINHA ALFA 120 1500J 0503 OURO;2,5;2,5
2365;2365;LINHA ALFA 120 1500J 0504 AM. BB;2,5;2,5
2374;2374;LINHA ALFA 120 1500J 0505 AM CLARO;2,5;2,5
20556;20556;LINHA ALFA 120 1500J 0506 AM FLUOR;2,5;2,5
20514;20514;LINHA ALFA 120 1500J 0508 MOSTARDA;2,5;2,5
20689;20689;LINHA ALFA 120 1500J 0509 MOSTARDA;2,5;2,5
20695;20695;LINHA ALFA 120 1500J 0510 GEMA;2,5;2,5
2122;2122;LINHA ALFA 120 1500J 1000 LARANJA;2,5;2,5
2114;2114;LINHA ALFA 120 1500J 1001 ABOBORA;2,5;2,5
2381;2381;LINHA ALFA 120 1500J 1002 LARANJA;2,5;2,5
2115;2115;LINHA ALFA 120 1500J 1003;2,5;2,5
13205;13205;LINHA ALFA 120 1500J 1004;2,5;2,5
15331;15331;LINHA ALFA 120 1500J 1006;2,5;2,5
2116;2116;LINHA ALFA 120 1500J 1500 OCRE;2,5;2,5
2376;2376;LINHA ALFA 120 1500J 1501 CAQUI CLARO;2,5;2,5
2355;2355;LINHA ALFA 120 1500J 1502 CAQUI ESCURO;2,5;2,5
2117;2117;LINHA ALFA 120 1500J 1503 OCRE;2,5;2,5
2118;2118;LINHA ALFA 120 1500J 1504 CAQUI;2,5;2,5
2119;2119;LINHA ALFA 120 1500J 1505 CAQUI;2,5;2,5
2211;2211;LINHA ALFA 120 1500J 1506;2,5;2,5
2650;2650;LINHA ALFA 120 1500J 1507;2,5;2,5
2123;2123;LINHA ALFA 120 1500J 2000 BEGE;2,5;2,5
7402;7402;LINHA ALFA 120 1500J 2001 PALHA;2,5;2,5
2378;2378;LINHA ALFA 120 1500J 2003 BEGE;2,5;2,5
2362;2362;LINHA ALFA 120 1500J 2004 PALHA;2,5;2,5
2120;2120;LINHA ALFA 120 1500J 2005 PALHA;2,5;2,5
2897;2897;LINHA ALFA 120 1500J 2008;2,5;2,5
2371;2371;LINHA ALFA 120 1500J 2500 VERDA AGUA;2,5;2,5
2382;2382;LINHA ALFA 120 1500J 2501 VERDE;2,5;2,5
2377;2377;LINHA ALFA 120 1500J 2502 VERDE CLARO;2,5;2,5
20507;20507;LINHA ALFA 120 1500J 2503 VERDE AGUA;2,5;2,5
3472;3472;LINHA ALFA 120 1500J 2504 VERDE MUSGO;2,5;2,5
2357;2357;LINHA ALFA 120 1500J 2505 VERDE MUSGO;2,5;2,5
2127;2127;LINHA ALFA 120 1500J 2506 VERDE AGUA;2,5;2,5
20508;20508;LINHA ALFA 120 1500J 2507 VERDE;2,5;2,5
4179;4179;LINHA ALFA 120 1500J 2508 VERDE;2,5;2,5
2121;2121;LINHA ALFA 120 1500J 2509 VERDE;2,5;2,5
20509;20509;LINHA ALFA 120 1500J 2510 MUSGO;2,5;2,5
20558;20558;LINHA ALFA 120 1500J 2511 VERDE FLUOR;2,5;2,5
20559;20559;LINHA ALFA 120 1500J 2512 VERDE;2,5;2,5
2130;2130;LINHA ALFA 120 1500J 2513 VERDE AGUA;2,5;2,5
2128;2128;LINHA ALFA 120 1500J 2514 VERDE CLARO;2,5;2,5
2215;2215;LINHA ALFA 120 1500J 2515;2,5;2,5
20691;20691;LINHA ALFA 120 1500J 2516 VERDE;2,5;2,5
20693;20693;LINHA ALFA 120 1500J 2517 VERDE ESCURO;2,5;2,5
20694;20694;LINHA ALFA 120 1500J 2518;2,5;2,5
9175;9175;LINHA ALFA 120 1500J 2519;2,5;2,5
13209;13209;LINHA ALFA 120 1500J 2521;2,5;2,5
10964;10964;LINHA ALFA 120 1500J 2522;2,5;2,5
9176;9176;LINHA ALFA 120 1500J 2523;2,5;2,5
17125;17125;LINHA ALFA 120 1500J 2524;2,5;2,5
5077;5077;LINHA ALFA 120 1500J 2525;2,5;2,5
2125;2125;LINHA ALFA 120 1500J 3000 ROSA CLARO;2,5;2,5
2375;2375;LINHA ALFA 120 1500J 3001 ;2,5;2,5
2515;2515;LINHA ALFA 120 1500J 3002 PINK;2,5;2,5
2363;2363;LINHA ALFA 120 1500J 3003 CORAL;2,5;2,5
2126;2126;LINHA ALFA 120 1500J 3004 ROSA;2,5;2,5
20510;20510;LINHA ALFA 120 1500J 3005 SALMAO;2,5;2,5
20557;20557;LINHA ALFA 120 1500J 3006 ROSA FLUOR;2,5;2,5
2133;2133;LINHA ALFA 120 1500J 3007 ROSA FOSCO;2,5;2,5
18143;18143;LINHA ALFA 120 1500J 3008 ;2,5;2,5
10963;10963;LINHA ALFA 120 1500J 3009;2,5;2,5
13208;13208;LINHA ALFA 120 1500J 3010;2,5;2,5
17142;17142;LINHA ALFA 120 1500J 3011 ;2,5;2,5
18210;18210;LINHA ALFA 120 1500J 3012;2,5;2,5
2366;2366;LINHA ALFA 120 1500J 3500 VERMELHO;2,5;2,5
2380;2380;LINHA ALFA 120 1500J 3501 VERMELHO VIVO;2,5;2,5
2367;2367;LINHA ALFA 120 1500J 3502 VERMELHO;2,5;2,5
20511;20511;LINHA ALFA 120 1500J 4000 BORDO;2,5;2,5
2543;2543;LINHA ALFA 120 1500J 4001 ROXO;2,5;2,5
2369;2369;LINHA ALFA 120 1500J 4002 LILAS;2,5;2,5
20512;20512;LINHA ALFA 120 1500J 4003 ROXO;2,5;2,5
18215;18215;LINHA ALFA 120 1500J 4004;2,5;2,5
2134;2134;LINHA ALFA 120 1500J 4005 ROXO;2,5;2,5
2210;2210;LINHA ALFA 120 1500J 4006;2,5;2,5
2129;2129;LINHA ALFA 120 1500J 4007 VINHO;2,5;2,5
20692;20692;LINHA ALFA 120 1500J 4008 ROXO;2,5;2,5
9179;9179;LINHA ALFA 120 1500J 4009;2,5;2,5
18238;18238;LINHA ALFA 120 1500J 4012 ;2,5;2,5
5076;5076;LINHA ALFA 120 1500J 4013;2,5;2,5
2359;2359;LINHA ALFA 120 1500J 4500 NOITE;2,5;2,5
2372;2372;LINHA ALFA 120 1500J 4501 MARINHO;2,5;2,5
2358;2358;LINHA ALFA 120 1500J 4502 PISCINA;2,5;2,5
2360;2360;LINHA ALFA 120 1500J 4503 ROYAL;2,5;2,5
2368;2368;LINHA ALFA 120 1500J 4504 TURQUESA;2,5;2,5
2356;2356;LINHA ALFA 120 1500J 4505 AZUL BB;2,5;2,5
20513;20513;LINHA ALFA 120 1500J 4506 AZUL BEBE;2,5;2,5
20555;20555;LINHA ALFA 120 1500J 4507 AZUL;2,5;2,5
20515;20515;LINHA ALFA 120 1500J 4508 AZUL;2,5;2,5
2131;2131;LINHA ALFA 120 1500J 4509 AZUL;2,5;2,5
2135;2135;LINHA ALFA 120 1500J 4510 AZUL;2,5;2,5
2136;2136;LINHA ALFA 120 1500J 4511 PETROLEO;2,5;2,5
2137;2137;LINHA ALFA 120 1500J 4512 AZUL;2,5;2,5
2138;2138;LINHA ALFA 120 1500J 4513 AZUL ESCURO;2,5;2,5
2139;2139;LINHA ALFA 120 1500J 4514 AZUL MEDIO;2,5;2,5
2140;2140;LINHA ALFA 120 1500J 4515 MARINHO FOSCO;2,5;2,5
10960;10960;LINHA ALFA 120 1500J 4516;2,5;2,5
13204;13204;LINHA ALFA 120 1500J 4517;2,5;2,5
13206;13206;LINHA ALFA 120 1500J 4519;2,5;2,5
10965;10965;LINHA ALFA 120 1500J 4520;2,5;2,5
2212;2212;LINHA ALFA 120 1500J 4521;2,5;2,5
17119;17119;LINHA ALFA 120 1500J 4523 ;2,5;2,5
5078;5078;LINHA ALFA 120 1500J 4524;2,5;2,5
3540;3540;LINHA ALFA 120 1500J 5000 CHUMBO;2,5;2,5
2361;2361;LINHA ALFA 120 1500J 5001 CINZA CLARO;2,5;2,5
2370;2370;LINHA ALFA 120 1500J 5002 ESTANHO;2,5;2,5
2373;2373;LINHA ALFA 120 1500J 5003 CINZA CLARO;2,5;2,5
20516;20516;LINHA ALFA 120 1500J 5004 CINZA CLARO;2,5;2,5
2141;2141;LINHA ALFA 120 1500J 5005 CINZA;2,5;2,5
2142;2142;LINHA ALFA 120 1500J 5006 CINZA;2,5;2,5
2213;2213;LINHA ALFA 120 1500J 5007;2,5;2,5
9172;9172;LINHA ALFA 120 1500J 5008;2,5;2,5
10967;10967;LINHA ALFA 120 1500J 5009;2,5;2,5
2379;2379;LINHA ALFA 120 1500J 5500 MARROM;2,5;2,5
2214;2214;LINHA ALFA 120 1500J 5501;2,5;2,5
2132;2132;LINHA ALFA 120 1500J 5502 CHOCOLATE;2,5;2,5
20690;20690;LINHA ALFA 120 1500J 5503 MARROM;2,5;2,5
13207;13207;LINHA ALFA 120 1500J 5504;2,5;2,5
17131;17131;LINHA ALFA 120 1500J 5505 ;2,5;2,5
19757;19757;LINHA ALFA 120 1500JDS CORES;2,5;2,5
20309;20309;LINHA ALFA 120 5000M    9900 PRETA;7,15;7,15
20310;20310;LINHA ALFA 120 5000M 0100 BRANCA;7,15;7,15
20315;20315;LINHA ALFA 120 5000M 0101 NATURAL;7,15;7,15
20999;20999;LINHA ALFA 120 5000M 0102;7,15;7,15
21000;21000;LINHA ALFA 120 5000M 0500;7,15;7,15
20319;20319;LINHA ALFA 120 5000M 0501 CANARIO;7,15;7,15
20320;20320;LINHA ALFA 120 5000M 0502 AM. BB;7,15;7,15
20495;20495;LINHA ALFA 120 5000M 0504 AM. BB;7,15;7,15
20496;20496;LINHA ALFA 120 5000M 0505 AM CLARO;7,15;7,15
21001;21001;LINHA ALFA 120 5000M 1000;7,15;7,15
21002;21002;LINHA ALFA 120 5000M 1001;7,15;7,15
20324;20324;LINHA ALFA 120 5000M 1002 LARANJA;7,15;7,15
6598;6598;LINHA ALFA 120 5000M 1003;7,15;7,15
11749;11749;LINHA ALFA 120 5000M 1004;7,15;7,15
20406;20406;LINHA ALFA 120 5000M 1501 CAQUI CLARO;7,15;7,15
20497;20497;LINHA ALFA 120 5000M 1502 CAQUI ESCURO;7,15;7,15
2290;2290;LINHA ALFA 120 5000M 1503;7,15;7,15
2252;2252;LINHA ALFA 120 5000M 1504;7,15;7,15
21003;21003;LINHA ALFA 120 5000M 2000;7,15;7,15
2254;2254;LINHA ALFA 120 5000M 2001;7,15;7,15
20407;20407;LINHA ALFA 120 5000M 2003 BEGE;7,15;7,15
2255;2255;LINHA ALFA 120 5000M 2500;7,15;7,15
20325;20325;LINHA ALFA 120 5000M 2501 VERDE;7,15;7,15
21004;21004;LINHA ALFA 120 5000M 2502;7,15;7,15
21005;21005;LINHA ALFA 120 5000M 2503;7,15;7,15
20498;20498;LINHA ALFA 120 5000M 2504 VERDE MUSGO;7,15;7,15
20323;20323;LINHA ALFA 120 5000M 2505 VERDE MUSGO;7,15;7,15
21006;21006;LINHA ALFA 120 5000M 2507;7,15;7,15
20408;20408;LINHA ALFA 120 5000M 2508 VERDE;7,15;7,15
2258;2258;LINHA ALFA 120 5000M 2510;7,15;7,15
2259;2259;LINHA ALFA 120 5000M 2511;7,15;7,15
21007;21007;LINHA ALFA 120 5000M 2512;7,15;7,15
2260;2260;LINHA ALFA 120 5000M 2514;7,15;7,15
2261;2261;LINHA ALFA 120 5000M 2515;7,15;7,15
21008;21008;LINHA ALFA 120 5000M 2516;7,15;7,15
14679;14679;LINHA ALFA 120 5000M 2518;7,15;7,15
14681;14681;LINHA ALFA 120 5000M 2519;7,15;7,15
14682;14682;LINHA ALFA 120 5000M 2521;7,15;7,15
14683;14683;LINHA ALFA 120 5000M 2522;7,15;7,15
14680;14680;LINHA ALFA 120 5000M 2523;7,15;7,15
2266;2266;LINHA ALFA 120 5000M 3000;7,15;7,15
20409;20409;LINHA ALFA 120 5000M 3001 ;7,15;7,15
20499;20499;LINHA ALFA 120 5000M 3002 PINK;7,15;7,15
20500;20500;LINHA ALFA 120 5000M 3003 CORAL;7,15;7,15
21009;21009;LINHA ALFA 120 5000M 3004;7,15;7,15
21010;21010;LINHA ALFA 120 5000M 3005;7,15;7,15
2268;2268;LINHA ALFA 120 5000M 3006;7,15;7,15
14684;14684;LINHA ALFA 120 5000M 3009;7,15;7,15
14804;14804;LINHA ALFA 120 5000M 3010;7,15;7,15
5074;5074;LINHA ALFA 120 5000M 3012;7,15;7,15
20314;20314;LINHA ALFA 120 5000M 3500 VERMELHO;7,15;7,15
20311;20311;LINHA ALFA 120 5000M 3501 VERMELHO ;7,15;7,15
20501;20501;LINHA ALFA 120 5000M 3502 VERMELHO;7,15;7,15
2269;2269;LINHA ALFA 120 5000M 4000;7,15;7,15
20502;20502;LINHA ALFA 120 5000M 4001 ROXO ;7,15;7,15
20410;20410;LINHA ALFA 120 5000M 4002 LILAS;7,15;7,15
21012;21012;LINHA ALFA 120 5000M 4003;7,15;7,15
19105;19105;LINHA ALFA 120 5000M 4007 VINHO;7,15;7,15
2271;2271;LINHA ALFA 120 5000M 4008;7,15;7,15
14803;14803;LINHA ALFA 120 5000M 4009;7,15;7,15
21013;21013;LINHA ALFA 120 5000M 4012;7,15;7,15
20312;20312;LINHA ALFA 120 5000M 4500 NOITE;7,15;7,15
20313;20313;LINHA ALFA 120 5000M 4501 MARINHO;7,15;7,15
20503;20503;LINHA ALFA 120 5000M 4502 PISCINA;7,15;7,15
20316;20316;LINHA ALFA 120 5000M 4503 ROYAL;7,15;7,15
20504;20504;LINHA ALFA 120 5000M 4504 TURQUESA;7,15;7,15
20505;20505;LINHA ALFA 120 5000M 4505 AZUL BB;7,15;7,15
2273;2273;LINHA ALFA 120 5000M 4506;7,15;7,15
2275;2275;LINHA ALFA 120 5000M 4507;7,15;7,15
2281;2281;LINHA ALFA 120 5000M 4508;7,15;7,15
21014;21014;LINHA ALFA 120 5000M 4509;7,15;7,15
2287;2287;LINHA ALFA 120 5000M 4510;7,15;7,15
2248;2248;LINHA ALFA 120 5000M 4512;7,15;7,15
2247;2247;LINHA ALFA 120 5000M 4514;7,15;7,15
2245;2245;LINHA ALFA 120 5000M 4515;7,15;7,15
14805;14805;LINHA ALFA 120 5000M 4516;7,15;7,15
14262;14262;LINHA ALFA 120 5000M 4517;7,15;7,15
14264;14264;LINHA ALFA 120 5000M 4519;7,15;7,15
14017;14017;LINHA ALFA 120 5000M 4520;7,15;7,15
20317;20317;LINHA ALFA 120 5000M 5000 CHUMBO;7,15;7,15
20318;20318;LINHA ALFA 120 5000M 5001 CINZA CLARO;7,15;7,15
20411;20411;LINHA ALFA 120 5000M 5002 ESTANHO;7,15;7,15
20506;20506;LINHA ALFA 120 5000M 5003 CINZA CLARO;7,15;7,15
2244;2244;LINHA ALFA 120 5000M 5004;7,15;7,15
2243;2243;LINHA ALFA 120 5000M 5005;7,15;7,15
2101;2101;LINHA ALFA 120 5000M 5006;7,15;7,15
14275;14275;LINHA ALFA 120 5000M 5008;7,15;7,15
14276;14276;LINHA ALFA 120 5000M 5009;7,15;7,15
20412;20412;LINHA ALFA 120 5000M 5500 MARROM;7,15;7,15
2321;2321;LINHA ALFA 120 5000M 5503;7,15;7,15
14263;14263;LINHA ALFA 120 5000M 5504;7,15;7,15
19362;19362;LINHA ALFA 36 5000M    9900 PRETA;16,65;16,65
19361;19361;LINHA ALFA 36 5000M 0100 BRANCO;16,65;16,65
2147;2147;LINHA ALFA 36 5000M 0509 ;16,65;16,65
20413;20413;LINHA ALFA 36 5000M 1502 CAQUI ESCURO;16,65;16,65
20414;20414;LINHA ALFA 36 5000M 1503 OCRE;16,65;16,65
18564;18564;LINHA ALFA 36 5000M 1504;16,65;16,65
2150;2150;LINHA ALFA 36 5000M 1506;16,65;16,65
17023;17023;LINHA ALFA 36 5000M 1507;16,65;16,65
20415;20415;LINHA ALFA 36 5000M 2003 BEGE;16,65;16,65
2151;2151;LINHA ALFA 36 5000M 2008;16,65;16,65
18565;18565;LINHA ALFA 36 5000M 2514;16,65;16,65
20444;20444;LINHA ALFA 36 5000M 3500 VERMELHO;16,65;16,65
20445;20445;LINHA ALFA 36 5000M 3501 VERMELHO VIVO;16,65;16,65
5036;5036;LINHA ALFA 36 5000M 4500;16,65;16,65
20416;20416;LINHA ALFA 36 5000M 4501 MARINHO;16,65;16,65
2152;2152;LINHA ALFA 36 5000M 4521;16,65;16,65
20417;20417;LINHA ALFA 36 5000M 5000 CHUMBO;16,65;16,65
20447;20447;LINHA ALFA 36 5000M 5001 CINZA CLARO;16,65;16,65
20940;20940;LINHA ALFA 36 5000M 5002;16,65;16,65
2153;2153;LINHA ALFA 36 5000M 5007 ;16,65;16,65
17085;17085;LINHA ALFA 36 5000M 5500;16,65;16,65
19368;19368;LINHA ALFA 50 5000M    9900 PRETA;11,6;11,6
19367;19367;LINHA ALFA 50 5000M 0100 BRANCO;11,6;11,6
2154;2154;LINHA ALFA 50 5000M 0509;11,6;11,6
20418;20418;LINHA ALFA 50 5000M 1502 CAQUI ESCURO;11,6;11,6
20419;20419;LINHA ALFA 50 5000M 1503 OCRE;11,6;11,6
17161;17161;LINHA ALFA 50 5000M 1504;11,6;11,6
2155;2155;LINHA ALFA 50 5000M 1506;11,6;11,6
17024;17024;LINHA ALFA 50 5000M 1507;11,6;11,6
8415;8415;LINHA ALFA 50 5000M 2000 ;11,6;11,6
20420;20420;LINHA ALFA 50 5000M 2003 BEGE;11,6;11,6
2156;2156;LINHA ALFA 50 5000M 2008;11,6;11,6
3780;3780;LINHA ALFA 50 5000M 2505;11,6;11,6
16601;16601;LINHA ALFA 50 5000M 2514;11,6;11,6
20448;20448;LINHA ALFA 50 5000M 3500 VERMELHO;11,6;11,6
20449;20449;LINHA ALFA 50 5000M 3501 VERMELHO VIVO;11,6;11,6
8416;8416;LINHA ALFA 50 5000M 4500;11,6;11,6
20421;20421;LINHA ALFA 50 5000M 4501 MARINHO;11,6;11,6
